arm,model,adulterant,level_pct,lot,n_spectra,identification_acc,detection_rate,pred_adulterant_mean,pred_adulterant_sd,abs_error_mean
A,KAN,sunflower,72,T3,16,1.0,1.0,71.59715108076732,2.420731615728216,1.6931865612665806
A,KAN,sunflower,76,T4,16,1.0,1.0,72.82407148679098,1.879435405309403,3.291974385579426
A,KAN,sunflower,80,T5,14,1.0,1.0,84.48262373606363,2.018941321224404,4.48262373606364
A,KAN,sunflower,84,T1,16,1.0,1.0,74.33115162452063,5.136192618143155,9.66884837547938
A,KAN,sunflower,88,T2,16,1.0,1.0,87.9342931509018,1.8158643234610137,1.558084746201832
A,KAN,sunflower,92,T3,16,1.0,1.0,90.62631813685098,1.5597765572492546,1.647918562094369
A,KAN,sunflower,96,T4,16,1.0,1.0,94.40592980633178,1.0574020148704437,1.5940701936682071
A,KAN,sunflower,100,T5,17,1.0,1.0,90.18910819408941,1.3618867220240995,9.810891805910595
A,MLP,peanut,4,T1,16,1.0,1.0,14.522216478983562,1.851456053655654,10.522216478983562
A,MLP,peanut,8,T2,16,0.8125,0.9375,13.503975709279377,1.6289710814023923,5.503975709279378
A,MLP,peanut,12,T3,16,1.0,1.0,11.135677019755045,0.9539283546879127,0.9845978418985997
A,MLP,peanut,16,T4,16,1.0,1.0,13.077836354573567,1.1134070850846607,2.9221636454264326
A,MLP,peanut,20,T5,16,1.0,1.0,26.898451646169022,3.3575355614206215,6.898451646169025
A,MLP,peanut,24,T1,16,1.0,1.0,31.635725180308025,1.5706970840654377,7.635725180308024
A,MLP,peanut,28,T2,16,1.0,1.0,35.985551595687866,1.6924336074094701,7.985551595687867
A,MLP,peanut,32,T3,16,1.0,1.0,30.971896966298424,2.2308287943505243,1.921189149220782
A,MLP,peanut,36,T4,16,1.0,1.0,30.75626532236735,2.1783882413812576,5.243734677632649
A,MLP,peanut,40,T5,16,1.0,1.0,43.380237420399986,1.5716468384548192,3.380237420399984
A,MLP,peanut,44,T1,16,1.0,1.0,50.630869706471756,1.3492180410939887,6.630869706471761
A,MLP,peanut,48,T2,16,1.0,1.0,54.57042558987935,1.6937250816475864,6.570425589879354
A,MLP,peanut,52,T3,16,1.0,1.0,51.15021069844564,1.7031574392454432,1.6039252281188965
A,MLP,peanut,56,T4,16,1.0,1.0,53.17300271987915,1.460204941446843,2.8269972801208487
A,MLP,peanut,60,T5,16,1.0,1.0,59.98252058029175,1.7517334043868402,1.4005870819091797
A,MLP,peanut,64,T1,17,1.0,1.0,69.17673178280101,1.7912083622358417,5.176731782801008
A,MLP,peanut,68,T2,16,1.0,1.0,69.81979445616403,1.4786737000446502,1.9541071653366089
A,MLP,peanut,72,T3,16,1.0,1.0,68.80585491657257,1.1373624916068579,3.1941450834274274
A,MLP,peanut,76,T4,16,1.0,1.0,76.22408270835876,1.7644749912156277,1.4228039582570382
A,MLP,peanut,80,T5,16,1.0,1.0,78.7109385728836,1.2963535311339973,1.4688372214635228
A,MLP,peanut,84,T1,16,1.0,1.0,85.62181903918585,1.431832039440618,1.7053290406862889
A,MLP,peanut,88,T2,16,1.0,1.0,87.52101397514343,0.8805232655513477,0.7513115008672075
A,MLP,peanut,92,T3,16,1.0,1.0,88.30272062619528,0.9062771023636219,3.6972793738047285
A,MLP,peanut,96,T4,16,1.0,1.0,95.62149521304914,1.3470492185135194,1.1946943560615182
A,MLP,peanut,100,T5,16,1.0,1.0,93.99387831240892,1.4527298449472819,6.006121687591076
A,MLP,sunflower,4,T1,16,0.9375,1.0,14.601225376129152,2.0544544531465796,10.601225376129152
A,MLP,sunflower,8,T2,16,1.0,0.875,14.08346446355184,1.9646829178610816,6.08346446355184
A,MLP,sunflower,12,T3,15,1.0,1.0,11.740508185492619,1.7741782909989903,1.4169648912217894
A,MLP,sunflower,16,T4,16,0.4375,1.0,10.259553750356039,1.1265695973154948,5.740446249643961
A,MLP,sunflower,20,T5,16,1.0,1.0,31.69924259185791,1.8925736686124404,11.69924259185791
A,MLP,sunflower,24,T1,16,1.0,1.0,32.34947021802267,2.4952544109549106,8.349470218022667
A,MLP,sunflower,28,T2,16,1.0,1.0,34.5670584042867,2.592219201119915,6.567058404286703
A,MLP,sunflower,32,T3,16,1.0,1.0,29.15605560938517,2.3128721347686314,3.1596563657124843
A,MLP,sunflower,36,T4,16,1.0,1.0,27.67461554209391,1.5758498442306663,8.325384457906088
A,MLP,sunflower,40,T5,17,1.0,1.0,50.94473416197533,1.110253871006731,10.944734161975337
A,MLP,sunflower,44,T1,16,1.0,1.0,48.46265538533528,1.8039171044696596,4.537679036458334
A,MLP,sunflower,48,T2,16,1.0,1.0,52.19990189870198,2.609745746397446,4.321414311726887
A,MLP,sunflower,52,T3,16,1.0,1.0,50.956716537475586,1.858455104159554,1.7637863159179674
A,MLP,sunflower,56,T4,16,1.0,1.0,51.7853668530782,1.939538146123,4.214633146921793
A,MLP,sunflower,60,T5,16,1.0,1.0,65.68289164702098,2.1748227451382123,5.682891647020978
A,MLP,sunflower,64,T1,16,1.0,1.0,64.60508533318837,3.454635276582372,2.705926219622294
